Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Ministry of Civil Aviation,,,,,,
,Aviation & Aviation Infrastructure,,,,,,
1,"Guwahati Airport New Integrated Terminal Building Construction Project
(Adani Airport Holdings Limited)
(706724)",Assam,"12/2016
(03/2018)","03/2025
(11/2025)","1712
(1712)",2397.37,91
2,"C/o NITB Imphal Airport
(Airport Authority of India [AAI])
(706718)",Manipur,"11/2021
(07/2022)","07/2024
(12/2026)","499
(499)",154.43,41
3,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c
slope stabilization Measures [Balance work] of uphill and Improvement of Storm
Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC]
with integrated 10 years maintenance.
(Airport Authority of India [AAI])
(612793)",Sikkim,"11/2023
(12/2023)","02/2026
(-)","323.26
(323.26)",34.3,13
,Total (3),,,,2534.26,2586.1,
,Ministry of Coal,,,,,,
,Coal,,,,,,
4,"TIKAK EXTENSION OCP
(MIS MoCoal Integration Logins)
(615820)",Assam,"07/2022
(07/2022)","07/2031
(-)","159.77
(159.77)",81.47,0
5,"TIRAP OCP
(MIS MoCoal Integration Logins)
(615821)",Assam,"11/2022
(11/2022)","11/2030
(-)","289.46
(289.46)",105.6,3
,Total (2),,,,449.23,187.07,
,Department of Higher Education,,,,,,
,Education,,,,,,
6,"Construction of Permanent Campus of National Institute of Technology Arunachal
Pradesh
(National Institute of Technology, Arunachal Pradesh)
(612898)",Arunachal Pradesh,"09/2009
(03/2013)","08/2026
(-)","592.61
(592.61)",550.22,75
7,"Tezpur University Projects
(Tezpur University)
(606112)",Assam,"05/2019
(06/2021)","11/2023
(10/2025)","153.71
(153.71)",124.33,97
8,"Construction and Developement of National Institute of Technology Meghalaya
Permanent Campus at Sohra
(National Institute of Technology, Meghalaya)
(612885)",Meghalaya,"09/2009
(09/2014)","03/2022
(07/2025)","494.52
(494.52)",413.57,86
9,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl
(NIT Mizoram)
(612876)",Mizoram,"09/2009
(06/2014)","12/2029
(12/2029)","474.23
(474.23)",167.55,4
10,"Establishment of NIT Nagaland
(NIT Nagaland)
(613013)",Nagaland,"09/2009
(12/2014)","12/2025
(-)","275.63
(275.63)",261.24,97
11,"Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok
District
(NIT Sikkim)
(612883)",Sikkim,"02/2024
(03/2024)","02/2028
(12/2026)","685.76
(610.76)",121.56,12
12,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South
Sikkim
(Sikkim University)
(609736)",Sikkim,"08/2020
(01/2022)","01/2025
(09/2025)","314.06
(314.06)",238.22,83
,Total (7),,,,2990.52,1876.69,
,Ministry of Power,,,,,,
,Electricity Generation,,,,,,
13,"Dibang Multipurpose Project
(National Hydroelectric Power Corporation Limited [NHPC])
(602182)",Arunachal Pradesh,"02/2023
(02/2023)","02/2032
(02/2032)","31876.39
(31876.4)",3639.39,16
14,"240MW Heo HE Project
(North Eastern Electric Power Corporation Limited)
(611698)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1938.85
(1938.85)",49.69,3
15,"186 MW Tato-I H E Project
(North Eastern Electric Power Corporation Limited)
(611699)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1750.07
(1750.07)",116.08,2
16,"Subansiri Lower HE Project [2000 MW]
(National Hydroelectric Power Corporation Limited [NHPC])
(602096)","Multi-States (Arunachal
Pradesh, Assam)","09/2003
(01/2005)","09/2010
(05/2026)","6285.33
(26075.5)",25058.77,96
17,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA
HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired
through NCLT]
(National Hydroelectric Power Corporation Limited [NHPC])
(602181)",Sikkim,"03/2019
(03/2020)","03/2024
(12/2027)","5748.04
(5748.04)",4656.92,69
18,"Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] -
A wholly owned subsidiary of NHPC Ltd. acquired through NCLT
(National Hydroelectric Power Corporation Limited [NHPC])
(605156)",Sikkim,"03/2021
(08/2021)","05/2024
(12/2025)","938.29
(1828.11)",1445.5,93
,Total (6),,,,48536.97,34966.35,
,Transmission & Distribution,,,,,,
19,"North Eastern Region Expansion Scheme-XXIII [NERES-XXIII]
(Power Grid Corporation of India Limited [POWERGRID])
(617375)",Arunachal Pradesh,"08/2025
(08/2025)","02/2028
(-)","209.38
(209.38)",0.02,0
20,"Comprehensive Scheme for Strengthening of Transmission and Distribution
[T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim
(Power Grid Corporation of India Limited [POWERGRID])
(602223)","Multi-States (Arunachal
Pradesh, Sikkim)","10/2014
(10/2014)","12/2018
(03/2027)","4754.42
(9129.32)",7598.33,82
21,"NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT
[NERPSIP]
(Power Grid Corporation of India Limited [POWERGRID])
(607709)","Multi-States (Assam,
Manipur, Meghalaya,
Mizoram, Nagaland,
Tripura)","12/2014
(03/2016)","12/2018
(12/2025)","5111.33
(6700)",5295.68,96
,Total (3),,,,10075.13,12894.03,
